Аньцин;1817993
Фритаун;2409306
Сан-Педро-Сула;3601782
Нарела;1261809
Синтай;1788927
Ниигата;1855431
Мускат;287286
Зарка;250090
Наукальпан-де-Хуарес;3522790
Чанкая;6955677
Хамамацу;1863289
Валенсия;2509954
Рахим Яр Хан;1167460
Пасрагадский филиал;10630176
Чжаотун;1784841
Панжихуа;6929460
Бумердас;2474141
Джаландхар;1268782
Тируванантапурам;1254163
Чучжоу;1814757
Сакаи;1853195
Порт-Саид;358619
Котону;2394819
Кукута;3685533
Хомс;169577
Сюаньчжоу;1788081
Ниамей;2440485
Тайнань;1668355
Шанъюй;1817720
Лодзь;3093133
Тюмень;1488754
Кахриз;23814
Аньшунь;1817968
Раджшахи;1185128
Кота;1266049
Бхубанешвар;1275817
Учжоу;1790840
Циньхуандао;1797595
Майдугури;2331447
Краков;3094802
Алигарх;1279017
Шаоян;1816920
Питермарицбург;965301
Ломе;2365267
Виннипег;6183235
Багджылар;751324
Барейли;1277013
Бурайда;107304
Сан-Бернарду-ду-Кампо;3449344
Хеган;2036986
Морелия;3995402
Нампула;1033356
Рига;456172
Амстердам;2759794
Мааньшань;1801620
Шах Алам;1732903
Кумамото;1858421
Сиэтл;5809844
Ойо;2325200
Торреон;3981254
Дэян;1812961
Кветта;1167528
Янцюань;1787351
Сан-Жозе-дус-Кампус;3448636
Ашхабад;162183
Альваро Обрегон;3514663
Денпасар;1645528
Музаффарабад;1169607
Ваньчжоу;12358576
Сан-Луис-Потоси;3985606
Агуаскальентес;4019233
Жумадиан;1783873
Морадабад;1262801
Нджамена;2427123
Окаяма;1854383
Львов;702550
Ансан-си;1846918
Денвер;5419384
Рибейран-Прету;3451328
Запорожье;687700
Сальтильо;3988086
Субанг Джая;8504423
Тольятти;482283
Жабоатан;3397838
Санто-Доминго Оэсте;7874116
Санто-Доминго Эсте;8601412
Баттаграм;1183105
Суэц;359796
Чанчжи;1815463
Агадир;2561668
Сараево;3191281
Баликпапан;1650527
Баучи;2347470
Тунис;2464470
Чжанцзякоу;2033196
Серанг;1627549
Сидзуока;1851717
Паранак Сити;1694781
Вашингтон;4140963
Нэшвилл;4644585
Фуксин;2037346
Энугу;2343279
Таиф;107968
Танжер;2530335
Хуанши;1807234
Ляоян;2036113
Сорокаба;3447399
Бейс;1816269
Ситубондо;1626801
Севилья;2510911
Биньчжоу;1816336
Эль-Пасо;5520993
Оклахома-Сити;4544349
Юньчэн;1785738
Райпур;1258980
Генерал Сантос;1713022
Дэчжоу;1812955
Душанбе;1221874
Осаско;3455775
Детройт;4990729
Бостон;4930956
Сарагоса;3104324
Горакхпур;1270927
Гваделупе;4005492
Акапулько де Хуарес;3533462
Санменксия;1796669
Эчжоу;6642286
Миссиссога;6075357
Мадинат-ан-Наср;353225
Табук;101628
Чхонан;1845759
Муданьцзян;2035715
Аракажу;3471872
Афины;264371
Загреб;3186886
Лэшань;1804153
Санто Андре;3449701
Жичжао;9072919
Нуакшот;2377450
Пуэнт-Нуар;2255414
Хельсинки;658225
Понтианак;1630789
Банджармасин;1650213
Пудучерри;1259425
Суйнин;1793900
Пуян;9181182
Тлальнепантла;3515431
Портленд;5746545
Чонджу;1845457
Франкфурт-на-Майне;2925533
Макао;1821274
Палермо;2523920
Ижевск;554840
Коломбо;1248991
Матурин;3778045
Лилонгве;927967
Оран;2485926
Диярбакыр;316541
Хончо;1863905
Тагиг;1684308
Новый Южный Мемфис;4645421
Хвасон-си;1843847
Золотое побережье;2165087
Котли;1173055
Аль-Амади;285839
Куэнка;3658666
Кишинев;618426
Вроцлав;3081368
Хеби;1808770
Тебесса;2477461
Мемфис;4641239
Цзинмэнь;1805611
Барнаул;1510853
Даньдун;2037886
Штутгарт;2825297
Жабоатан-дус-Гуарарапис;6317344
Канкун;3531673
Заражение;3465624
Ульяновск;479123
Глазго;2648579
Бхилаи;1275971
Паньшань;2035513
Джибути;223817
Иркутск;2023469
Лас Вегас;5506956
Аль-Мансура;360761
Керманшах;128226
Дюссельдорф;2934246
Койоакан;3530139
Фейра-де-Сантана;3463478
Цзяочжоу;1806096
Суйчжоу;1793879
Вилла Нуэва;3587902
Хабаровск;2022890
Куяба;3465038
Аль Худайда;79415
Пасиг Сити;7290466
Чичжоу;1814934
Таиз;70225
Санта-Мария Чимальуакан;3517270
Яань;1787816
Боровли;1275248
Ярославль;468902
Кавагути;1859730
Джамби Сити;1642858
Град;106281
Бхавнагар;1276032
Бенони;1020098
Владивосток;2013348
Кочин;1273874
Цзиньчжоу;2036427
Тустла;3515001
Кривой Рог;703845
Амравати;1278718
Абу Даби;292968
Саньмин;1796663
Исламабад;1176615
Сангли;1257416
Милуоки;5263045
Ванкувер;6173331
Шуанъяшань;2034786
Роттердам;2747891
Гросшохер;2914796
Кляйнцшохер;2887933
Луаньчэн;1802204
Махачкала;532096
Аньян-си;1846898
Кагосима;1860827
Рашт;118743
Брэмптон;5907364
Мар-дель-Плата;3430863
Абеокута;2352947
Эссен;2928810
Аль-Махаллах аль-Кубра;360829
Инкоу;2033370
Лас-Пиньяс;1707174
Чжанчжоу;1785018
Рейноса;3520339
Туан Ан;12382296
Дортмунд;2935517
Лондрина;3458449
Гетеборг;2711537
Блантайр;931755
Нью-Кингстон;3489297
Ускюдар;738329
Букараманга;3688465
Генуя;3176219
Каттак;1273780
Осло;3143244
Малакка;1734759
Малага;2514256
Хабаровск Второй;2056752
Либревиль;2399697
Керман;128234
Орумия;121801
Бахчелиэвлер;7627067
Шанца;347497
Балтимор;4347778
Биканер;1275665
Тлакепаке;3981461
Тлалпан;3515428
Герат;1140026
Томск;1489425
Жуис де Фора;3459505
Умрание;738377
Шихези;1529195
Южный Бостон;4951305
Познань;3088171
Ирбид;248946
Кота-Бару;1736376
Чимахи;1646448
Пуэнте Альто;3875024
Мукалла;78754
Ньяла;369004
Оренбург;515003
Бокаро;1275362
Асмэра;343300
Сокото;2322911
Уберландия;3445831
Хатиодзи;1863440
Вэньчан;1791544
Альбукерке;5454711
Хамхонг;1877449
Кемерово;1503901
Насирия;98854
Варангал;1252948
Шеффилд;2638077
Дрезден;2935022
Блумфонтейн;1018725
Сантьяго-де-Куба;3536729
Сипинг;2034714
Хуайхуа;1807689
Бахавалпур;1183880
Чиклайо;3698350
Захедан;1159301
Кимхэ;1842943
Нандед;1261977
Кожикоде;1265873
Чханвон;1846326
Приштина;786714
Цзямусы;2036581
Антиполо;1730501
Корла;1529376
Порту-Велью;3662762
Сан-Мигель-де-Тукуман;3836873
Куантан;1735227
Севастополь;694423
Бремен;2944388
Ваннинг;1791779
Мекнес;2542715
Синьчжоу;1788450
Баньцяо;1670029
Саргодха;1166000
Банги;2389853
Вильнюс;593116
Пинду;1798821
Каламба;1720681
Новокузнецк;1496990
Кисангани;212730
Рязань;500096
Цзиань;1806445
Мерсин;304531
Рауркела;1258315
Варри;2319133
Гули;1809412
Аксу;1529660
Эбуте Икороду;2344082
Тангу;1793424
Астрахань;580497
Бейра;1052373
Квебек;6325494
Куаутемок;3827409
Шанлуо;1796068
Тусон;5318313
Гунтур;1270668
Ибаге;3680656
Антверпен;2803138
Туба;2244322
Асьюц;359783
Хамадан;132144
Цюнхай;1806488
Цанчжоу;1816080
Гомель;627907
Сан-Сальвадор;3583361
Химэдзи;1862627
Бэйхай;1816705
Пенза;511565
Кандагар;1138336
Мазари-Шариф;1133616
Лион;2996944
Суракарта;1625812
Хэншуй;1808392
Дехра Дун;1273313
эрозия;1272013
Сальта;3838233
Бхаяндар;1276014
Эзенлер;747340
Фресно;5350937
Гамильтон;5969782
Аль-Файюм;361320
Дургапур;1272175
Виктория де Дуранго;4011743
Аджмер;1279159
Лиссабон;2267057
Ульхаснагар;1253894
Гуанъюань;1806466
Лидс;2644688
Колхапур;1266285
Силигури;1256525
Нюрнберг;2861650
Ганновер;2910831
Эскишехир;315202
Азадшахр;14256
Самарканд;1216265
Макапа;3396016
Сяньнин;1790396
Тембиса;949880
Кампус-дус-Гойтаказиш;3467693
Билимора;1275610
Апаресида-де-Гояния;6316406
Макати Сити;1703417
Мяньчжу, Дэян, Сычуань;12492662
Тунхуа;2034414
Набережные Челны;523750
Мацуяма;1926099
Липецк;535121
Флорианополис;3463237
Банан;1909733
Туен Мун;1818446
Чжанъе;1785036
Киров;548408
Кашгар;1280849
Эдинбург;2650225
Наджран;103630
Кароль Баг;1267696
Чжоукоу;1784130
Лейпциг;2879139
Пинлян;1798760
Калининский;8504951
Дуйсбург;2934691
Асансол;1278314
Арак;143127
Актобе;610611
Кота-Кинабалу;1733432
Пхохан;1839071
Чжучэн;1783988
Санта-Марта;3668605
Мацудо;1857553
Караганда;609655
Лауди;1802238
Ша Тин;1818920
Тулуза;2972315
Чебоксары;569696
Джамнагар;1269317
Шаньвэй;1795928
Монтерия;3674453
Сакраменто;5389489
Руиру;181032
Вальедупар;3666304
Аджман Сити;292932
Цзяньшуй;9931406
Порт-Судан;377039
Толука;3515302
Сьюдад Лопес Матеос;3532624
Хигаси-Осака;1862752
Аль-Хушуш;360890
Чеджу Сити;1846266
Омаха;5074472
Масина;2593460
Сахаранпур;1257806
Веллор;1253286
Куаутитлан Искалли;3515807
Пьюра;3693528
Гульбарга;1270752
Курашики;1858311
Бхатпара;1276058
Джиджига;333795
Тула;480562
Наджаф;98860
Сичан;1789647
Окене;2327220
Ыйджонбу-си;1833788
Восточный Лондон;1006984
Йезд;111822
Харгейса;57289
Чита;1854487
Мауа;3457381
Сиалкот;1164909
Цзиньчэн;1805741
Элдорет;198629
Канзас-Сити;4393217
Яньань;1787765
Калининград;554234
Скопье;785842
Веринингинг;944385
Ди Ан;1583518
Гаага;2747373
Длинный пляж;5367929
Шоугуан;1794794
Цзиндэчжэнь;1805680
Шизуйшань;12324556
Меса;5304391
Сиб;288967
Цзяоцзян;1809061
Николаев;700569
Нисиномия-хама;1855207
Фукуяма;1863917
Статен-Айленд;5139568
Наньпин;1799846
Перейра;3672486
Сьюдад-Аподака;4018390
Белфорд Роксо;3470142
Канадзава;1860243
Бристоль;2654675
Микско;3592519
Джамму;1269321
Ляоюань;2036109
Хэюань;1786112
Атланта;4180439
Кананга;214481
Гданьск;3099434
Калабар;2346229
Жоинвиль;3459712
Хуаншань;1792359
Шамах;170017
Мурсия;2513416
Курнул;1265491
Санто-Доминго-де-лос-Колорадос;3651297
Карабаглар;7701384
Замбоанга;1679432
Удджайн;1253914
Колорадо-Спрингс;5417598
Нитерой;3456283
Уанкайо;3939459
Аль-Илла;99347
Намп'о;1873757
Баколод Сити;1729564
Сан-Жуан-ди-Мерити;3448877
Мансилинган;1701500
Вирджиния-Бич;4791259
Рамгундам;1258662
Манадо;1636544
Лишуй;1803245
Ндола;901344
Роли;4487042
Константин;2501152
Вэньшань Сити;8505006
Джуба;373303
Муратпаша;8074174
Уцуномия;1849053
Героика Матаморос;3523466
Шанлыурфа;298333
Чэндэ;2038087
Курск;538560
Махештала;1348843
Андижан;1514588
Кардифф;2653822
Боксбург;1017780
Кагаян де Оро;1721080
Басуо;1816858
Элязыг;315808
Сан-Николас-де-лос-Гарса;3985241
Гондар;336014
Купанг;2057087
Амагасаки;1865387
Карфур;3728338
Шьямнагар;1256409
Дасмариньяс;1715430
Малатья;304922
Чжанцзяцзе;1813171
Майами;4164138
Корого;2286304
Галифакс;6324729
Фудзисава;1864092
Сандакан;1734052
Моламьяйн;1308465
Сунун;1869012
Султангази;7628416
Мекеле;331180
Гаруа;2231320
Мванза;152224
Уйо;2319480
Сьюдад-Обрегон;4013704
Бейан;2038365
Кусери;2229798
Малегаон;1264115
Назрет;330186
Давангере;1273368
Манисалес;3675443
Масан;1841246
Ананиндеуа;3407669
Ставрополь;487846
Сантос;3449433
Кашива;1859924
Тель-Авив;293397
Буэнавентура;3688452
Кацина;2334802
Велком;940909
Мариуполь;701822
Венустиано Карранса;3827407
Загазиг;359493
Матарам;1635882
Исмаилия;361055
Джалгаон;1269407
Нинде;1806097
Акола;1279105
Белгаум;1276533
Куско;3941584
Цзюцюань;1279945
Веракрус;3514783
Восточный Иерусалим;7303419
Гуми;1842225
Брянск;571476
Малтепе;741763
Куала-Теренггану;1734705
Тойота;1849814
Мандалуйонг Сити;1701966
Аль Хардж;109353
Халапа де Энрикес;3526617
Раджпур Сонарпур;1255783
Адо-Экити;2352379
Братислава;3060972
Гая;1271439
Лаваль;6050610
Удайпур;1253986
Ликаси;922741
Луксор;360502
Далоа;2290486
Эрзурум;315368
Динси;1812749
Акуре;2350841
Тверь;480060
Боа-Виста;3664980
Рио-Бранко;3662574
Окленд;5378538
Корба;1266122
Такамацу;1851100
Тирана;3183875
Сан-Хуан;4568127
Колвези;922773
Окленд;2193733
Алор Сетар;1736309
Суккур;1164408
Тунчуань;7064006
